train,valid,test
mp-1002136,mp-1482,mp-743
mp-10716,mp-1024984,mp-541
mp-5532,mp-754,mp-30428
mp-999132,mp-20898,mp-22691
mp-21363,mp-570558,mp-1556
mp-510401,mp-12693,mp-1025385
mp-55,mp-21128,mp-505780
mp-560956,mp-2756,mp-5659
mp-8122,mp-1017555,mp-1017626
mp-999298,mp-4177,mp-4835
mp-3000,mp-12058,mp-560620
mp-2481,mp-20272,mp-558579
mp-12855,mp-13303,mp-13444
mp-1299,mp-2743,mp-27636
mp-2686,mp-3494,mp-580357
mp-541840,mp-1018096,mp-3953
mp-19237,mp-1606,mp-11178
mp-753181,mp-1919,mp-20353
mp-13829,mp-10892,mp-20362
mp-551,mp-14336,mp-305
mp-539,mp-7829,mp-3567
mp-825,mp-568865,mp-6988
mp-282,mp-2491,mp-4138
mp-12716,mp-1008274,mp-24066
mp-569794,mp-10463,mp-2694
mp-22867,mp-22620,mp-7422
mp-27438,mp-20939,mp-646507
mp-1018042,mp-1018124,mp-20082
mp-88,mp-550,mp-4481
mp-570259,mp-7940,mp-2334
mp-540791,mp-2049,mp-20697
mp-1190,mp-12659,mp-13472
mp-569249,mp-19983,mp-21271
mp-30685,mp-30845,mp-604321
mp-10739,mp-7433,mp-31170
mp-23870,mp-5938,mp-8682
mp-10167,mp-1418,mp-21462
mp-30930,mp-10312,mp-20463
mp-559998,mp-28163,mp-7228
mp-1017533,mp-4106,mp-4524
mp-32780,mp-893,mp-24409
mp-2663,mp-717,mp-84
mp-31018,mp-6606,mp-14006
mp-30836,mp-30437,mp-1020011
mp-18968,mp-142,mp-568411
mp-640095,mp-3194,mp-20685
mp-567456,mp-5577,mp-1551
mp-19908,mp-1018689,mp-5729
mp-10134,mp-570568,mp-1009130
mp-2333,mp-22993,mp-19214
mp-12062,mp-30741,mp-21413
mp-20487,mp-16290,mp-10654
mp-7424,mp-909,mp-4889
mp-572283,mp-28593,mp-2612
mp-20325,mp-19181,mp-1001825
mp-568718,mp-556742,mp-20479
mp-4514,mp-1748,mp-570428
mp-568823,mp-7400,mp-30892
mp-22856,mp-7986,mp-18759
mp-982261,mp-728,mp-1018107
mp-1018149,mp-19442,mp-11416
mp-1009836,mp-30234,mp-17848
mp-603719,mp-8237,mp-3805
mp-30876,mp-16646,mp-22870
mp-2089,mp-866046,mp-5663
mp-1018725,mp-10712,mp-16755
mp-21164,mp-7191,mp-23710
mp-13447,mp-1798,mp-30719
mp-10658,mp-5498,mp-9987
mp-4096,mp-28171,mp-10390
mp-568920,mp-7707,mp-28145
mp-10764,mp-21075,mp-10953
mp-4433,mp-1025113,mp-1025339
mp-31411,mp-10740,mp-20305
mp-1401,mp-9690,mp-568556
mp-1429,mp-1008556,mp-23171
mp-12699,mp-2458,mp-13365
mp-2895,mp-13453,mp-160
mp-1018723,mp-552738,mp-1623
mp-568537,mp-8612,mp-22662
mp-22284,mp-3854,mp-622980
mp-19966,mp-22609,mp-20791
mp-20146,mp-321,mp-19138
mp-1018941,mp-10884,mp-11360
mp-1114,mp-1263,mp-31703
mp-14092,mp-22793,mp-30871
mp-19940,mp-571160,mp-31452
mp-19241,mp-800,mp-20554
mp-22888,mp-504659,mp-13686
mp-20395,mp-30952,mp-21508
mp-2341,mp-21374,mp-204
mp-8320,mp-5106,mp-11285
mp-27253,mp-4612,mp-999187
mp-23431,mp-2827,mp-20203
mp-1630,mp-9881,mp-21366
mp-3677,mp-12635,mp-551918
mp-576,mp-191,mp-23304
mp-253,mp-8267,mp-672
mp-8874,mp-1018121,mp-832
mp-20536,mp-28174,mp-1352
mp-8310,mp-16750,mp-567504
mp-6972,mp-28024,mp-12098
mp-10058,mp-7285,mp-757
mp-3054,mp-510456,mp-12083
mp-20423,mp-1018699,mp-1025396
mp-448,mp-20098,mp-19148
mp-7473,mp-29196,mp-2418
mp-9,mp-557753,mp-10423
mp-19923,mp-555434,mp-9158
mp-15819,mp-11826,mp-34857
mp-562,mp-22060,mp-517
mp-1777,mp-1486,mp-649
mp-30504,mp-27176,mp-23173
mp-969,mp-11236,mp-15685
mp-1025222,mp-11460,mp-19035
mp-568725,mp-999192,mp-624929
mp-31011,mp-4359,mp-1018895
mp-632808,mp-217,mp-9565
mp-510376,mp-20356,mp-999198
mp-6094,mp-30403,mp-5399
mp-11456,mp-27865,mp-2103
mp-5347,mp-22872,mp-13270
mp-569128,mp-15951,mp-13121
mp-1007690,mp-2849,mp-1002183
mp-1019089,mp-567412,mp-14205
mp-5625,mp-30507,mp-13276
mp-567191,mp-10041,mp-31053
mp-593,mp-3048,mp-4233
mp-561830,mp-5676,mp-8630
mp-2988,mp-1097,mp-1969
mp-28013,mp-20133,mp-961656
mp-12594,mp-10115,mp-4180
mp-11382,mp-753890,mp-3217
mp-1018063,mp-1296,mp-1008920
mp-12266,mp-20007,mp-16733
mp-999068,mp-410,mp-4846
mp-18939,mp-510086,mp-12086
mp-18762,mp-13641,mp-998968
mp-1994,mp-636334,mp-11752
mp-2838,mp-4142,mp-554799
mp-1019317,mp-1009734,mp-20350
mp-19835,mp-489,mp-2434
mp-1008918,mp-215,mp-22687
mp-999072,mp-2927,mp-10856
mp-8306,mp-22747,mp-2
mp-636599,mp-27785,mp-30352
mp-22904,mp-568596,mp-973756
mp-9306,mp-1008805,mp-1938
mp-13907,mp-20900,mp-647924
mp-12666,mp-7823,mp-9549
mp-1334,mp-20181,mp-3497
mp-1210,mp-248,mp-12777
mp-10649,mp-2182,mp-28254
mp-19934,mp-1019564,mp-8873
mp-3104,mp-27255,mp-568280
mp-7006,mp-23176,mp-3283
mp-7631,mp-570657,mp-22866
mp-8093,mp-22897,mp-1018949
mp-603347,mp-10632,mp-10615
mp-20541,mp-21199,mp-554451
mp-2263,mp-1948,mp-23038
mp-5605,mp-3666,mp-38
mp-1009220,mp-1871,mp-3159
mp-2960,mp-510076,mp-29379
mp-510624,mp-15856,mp-567996
mp-7173,mp-13798,mp-7692
mp-22152,mp-974435,mp-567588
mp-3020,mp-23058,mp-554573
mp-22871,mp-999474,mp-569196
mp-29153,mp-241,mp-21235
mp-11412,mp-1019052,mp-1025022
mp-13254,mp-546142,mp-21167
mp-976271,mp-3307,mp-203
mp-28460,mp-5159,mp-567907
mp-10059,mp-22258,mp-8689
mp-5714,mp-12620,mp-4346
mp-756,mp-4438,mp-4793
mp-561258,mp-4505,mp-568404
mp-5578,mp-10182,mp-23279
mp-5920,mp-4699,mp-1017554
mp-8256,mp-2237,mp-1018100
mp-5639,mp-505554,mp-571195
mp-17481,mp-1873,mp-15895
mp-10847,mp-1025364,mp-2172
mp-19832,mp-571270,mp-10474
mp-29145,mp-867863,mp-5353
mp-16358,mp-12137,mp-30800
mp-319,mp-13175,mp-20840
mp-999496,mp-8881,mp-4824
mp-22912,mp-10018,mp-16246
mp-1008786,mp-1030,mp-570377
mp-571648,mp-2006,mp-1008630
mp-700,mp-16645,mp-558645
mp-3521,mp-796,mp-15649
mp-931,mp-10187,mp-6947
mp-10422,mp-1649,mp-28233
mp-22950,mp-2809,mp-27182
mp-19257,mp-4117,mp-11526
mp-634859,mp-999120,mp-1068
